Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
ACES,PT Aspirasi Hidup Indonesia Tbk,Consumer Cyclical,15.50%,8.12%,12.58%,9.20%,8.35x,0.86x,15.23%,2.84x,389.61,336.00,39.99%,9.53%,google+yfinance
ADMR,PT Alamtri Minerals Indonesia Tbk,Basic Materials,34.00%,8.27%,16.94%,28.21%,11.98x,N/A,53.25%,N/A,0.04,1525.00,14.98%,3.31%,google+yfinance+stockbit
ADRO,PT Alamtri Resources Indonesia Tbk,Energy,67.10%,5.42%,10.26%,25.43%,7.38x,N/A,19.54%,0.85x,0.17,2280.00,36.80%,10.33%,google+yfinance+stockbit
AKRA,PT AKR Corporindo Tbk,Energy,16.10%,5.75%,18.94%,5.26%,9.54x,1.91x,34.16%,0.40x,647.68,1240.00,32.06%,7.91%,google+yfinance
AMMN,PT Amman Mineral Internasional Tbk,Basic Materials,N/A,5.28%,10.48%,20.66%,25.77x,N/A,116.55%,N/A,0.08,3760.00,20.37%,N/A,google+yfinance+stockbit
ANTM,PT Antam (Persero) Tbk,Basic Materials,59.90%,10.85%,24.69%,9.66%,8.33x,1.82x,21.61%,0.00x,1616.55,2940.00,35.01%,7.09%,google+yfinance
ARTO,PT Bank Jago Tbk,Financial Services,42.30%,0.84%,3.45%,13.87%,42.21x,1.40x,N/A,0.72x,643.37,900.00,27.77%,N/A,google+yfinance+stockbit
ASII,PT Astra International Tbk,Industrials,-15.60%,4.54%,13.25%,9.94%,6.01x,0.81x,39.86%,0.77x,5809.86,4720.00,44.44%,8.25%,google+yfinance
ASRI,PT Alam Sutera Realty Tbk,Real Estate,-42.00%,2.79%,2.65%,9.94%,7.28x,0.19x,50.89%,0.18x,587.65,111.00,53.41%,135.00%,google+yfinance
AUTO,PT Astra Otoparts Tbk,Consumer Cyclical,10.60%,3.34%,14.19%,11.14%,5.19x,0.72x,3.32%,N/A,3362.55,2430.00,20.00%,9.42%,google+yfinance
BFIN,PT BFI Finance Indonesia Tbk,Financial Services,-12.60%,6.01%,14.16%,34.77%,7.05x,0.95x,119.87%,N/A,742.58,705.00,45.33%,10.22%,google+yfinance
BMTR,PT Global Mediacom Tbk,Communication Services,34.40%,2.71%,4.09%,9.07%,2.30x,0.12x,19.69%,N/A,991.89,118.00,46.88%,N/A,google+yfinance
BRIS,PT Bank Syariah Indonesia Tbk,Financial Services,17.10%,1.83%,16.15%,31.93%,10.32x,1.60x,N/A,N/A,1100.59,1765.00,9.90%,1.85%,google+yfinance+stockbit
BRMS,PT Bumi Resources Minerals Tbk,Basic Materials,21.30%,4.60%,5.14%,20.78%,94.45x,N/A,24.53%,N/A,0.01,635.00,55.57%,N/A,google+yfinance+stockbit
BRPT,PT Barito Pacific Tbk,Basic Materials,459.90%,0.98%,34.82%,5.98%,15.17x,N/A,133.91%,N/A,0.03,1645.00,28.25%,N/A,google+yfinance+stockbit
BSDE,PT Bumi Serpong Damai Tbk,Real Estate,-28.70%,3.17%,5.72%,19.90%,4.68x,0.27x,31.14%,N/A,2095.32,570.00,19.29%,N/A,google+yfinance
BTPS,PT Bank BTPN Syariah Tbk,Financial Services,2.80%,5.39%,12.15%,30.37%,6.43x,0.76x,N/A,0.42x,1334.20,1010.00,29.99%,11.78%,google+yfinance+stockbit
BUKA,PT Bukalapak.com Tbk.,Consumer Cyclical,N/A,-6.56%,10.81%,35.10%,3.74x,0.36x,45.60%,N/A,268.62,97.00,35.29%,N/A,google+yfinance
BUMI,PT Bumi Resources Tbk,Energy,35.20%,2.32%,4.59%,5.84%,38.28x,N/A,19.97%,0.10x,0.00,165.00,48.49%,N/A,google+yfinance+stockbit
CPIN,PT Charoen Pokphand Indonesia Tbk,Consumer Defensive,67.70%,12.82%,19.50%,9.16%,7.74x,1.41x,18.07%,0.80x,2239.08,3150.00,44.47%,5.68%,google+yfinance
CTRA,PT Ciputra Development Tbk,Real Estate,-21.50%,4.90%,10.23%,20.26%,3.97x,0.41x,28.66%,0.44x,1326.47,540.00,46.60%,4.40%,google+yfinance
DEWA,PT Darma Henwa Tbk,Energy,34.60%,2.47%,68.30%,68.12%,3.18x,1.84x,55.99%,N/A,193.60,358.00,24.57%,N/A,google+yfinance
DOID,PT Buma Internasional Grup Tbk,Energy,N/A,-2.69%,-105.31%,-7.85%,1.10x,N/A,22.75%,0.02x,0.01,206.00,55.73%,N/A,google+yfinance+stockbit
ELSA,PT Elnusa Tbk,Energy,1.60%,4.75%,13.62%,5.01%,5.67x,0.74x,9.99%,2.20x,753.87,560.00,43.07%,7.91%,google+yfinance
EMTK,PT Elang Mahkota Teknologi Tbk,Communication Services,N/A,1.19%,9.00%,13.43%,11.92x,0.91x,4.51%,N/A,602.98,545.00,28.61%,1.82%,google+yfinance
ENRG,PT Energi Mega Persada Tbk,Energy,2.00%,6.29%,12.13%,17.74%,25.38x,N/A,50.82%,0.15x,0.04,1385.00,N/A,N/A,google+yfinance+stockbit
ERAA,PT Erajaya Swasembada Tbk,Consumer Cyclical,122.70%,5.44%,15.76%,1.74%,4.02x,0.60x,98.55%,N/A,610.41,368.00,43.41%,5.11%,google+yfinance
ESSA,PT ESSA Industries Indonesia Tbk.,Basic Materials,130.70%,8.37%,12.11%,15.88%,12.26x,N/A,2.20%,N/A,0.03,650.00,30.18%,104.00%,google+yfinance+stockbit
EXCL,PT XLSMART Telecom Sejahtera Tbk,Communication Services,N/A,-1.07%,-20.14%,-12.11%,N/A,1.57x,209.04%,2.20x,1601.26,2500.00,33.18%,6.31%,google+yfinance+stockbit
FILM,PT.MD Entertainment Tbk,Communication Services,N/A,-1.87%,-9.72%,-44.86%,N/A,5.66x,12.22%,N/A,286.23,1615.00,32.55%,N/A,google+yfinance+stockbit
GOTO,PT GoTo Gojek Tokopedia Tbk,Technology,N/A,0.32%,-3.29%,-3.32%,N/A,1.66x,27.75%,N/A,30.20,50.00,77.01%,N/A,google+yfinance+stockbit
HEAL,PT Medikaloka Hermina Tbk,Healthcare,-18.80%,5.06%,7.83%,5.62%,32.71x,2.33x,48.06%,5.60x,373.20,870.00,53.04%,1.54%,google+yfinance
