Ticker,Nama Perusahaan,Sektor,Industry,MarketCap,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,AAOIFI Status,AAOIFI Reason,Source
AAPL,Apple Inc.,Technology,Consumer Electronics,$4.54T,19.40%,26.23%,141.47%,27.15%,37.43x,42.54x,79.55%,2.69x,7.26,308.82,99.83%,35.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,$3.11T,23.10%,14.81%,34.01%,39.34%,24.94x,7.50x,30.27%,1.29x,55.78,418.57,99.85%,87.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
NVDA,NVIDIA Corporation,Technology,Semiconductors,$5.22T,210.60%,52.73%,114.29%,62.97%,33.03x,33.27x,6.55%,0.66x,6.47,215.33,95.88%,2.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
GOOGL,Alphabet Inc. Class A,Communication Services,Internet Content & Information,$4.64T,81.20%,14.64%,38.88%,37.92%,29.23x,9.69x,20.03%,1.51x,39.51,382.97,185.68%,23.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
GOOG,Alphabet Inc. Class C,Communication Services,Internet Content & Information,$4.60T,81.20%,14.64%,38.88%,37.92%,28.89x,9.60x,20.03%,1.51x,39.51,379.38,198.20%,23.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,$1.55T,60.90%,16.40%,32.93%,32.84%,22.18x,6.36x,35.61%,0.88x,96.01,610.26,99.85%,34.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,$1.60T,16.60%,2.23%,4.90%,3.95%,383.79x,19.46x,18.74%,5.87x,21.90,426.01,74.98%,N/A,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,$564.11B,-52.40%,8.42%,26.42%,21.83%,27.19x,6.95x,67.73%,3.05x,33.73,234.34,99.84%,2.29%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products,$336.34B,4.30%,10.93%,31.11%,19.16%,21.09x,6.26x,67.65%,4.05x,23.08,144.44,99.82%,2.95%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,$642.14B,-45.80%,4.22%,9.87%,7.76%,26.12x,2.50x,18.26%,1.43x,62.07,154.92,99.79%,2.66%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
