Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
ACES,PT Aspirasi Hidup Indonesia Tbk,Consumer Cyclical,15.50%,8.12%,12.58%,9.20%,8.70x,0.90x,15.23%,2.37x,389.61,350.00,40.08%,9.68%,google+yfinance
ADMR,PT Alamtri Minerals Indonesia Tbk,Basic Materials,34.00%,8.27%,16.94%,28.21%,12.33x,N/A,53.25%,N/A,0.04,1550.00,14.98%,3.27%,google+yfinance+stockbit
ADRO,PT Alamtri Resources Indonesia Tbk,Energy,67.10%,5.42%,10.26%,25.43%,7.57x,N/A,19.54%,0.85x,0.17,2300.00,37.52%,10.28%,google+yfinance+stockbit
AKRA,PT AKR Corporindo Tbk,Energy,16.10%,5.75%,18.94%,5.26%,10.12x,2.03x,34.16%,0.40x,647.68,1315.00,32.09%,7.60%,google+yfinance
AMMN,PT Amman Mineral Internasional Tbk,Basic Materials,N/A,5.28%,10.48%,20.66%,21.93x,N/A,116.55%,N/A,0.08,3150.00,19.73%,N/A,google+yfinance+stockbit
ANTM,PT Antam (Persero) Tbk,Basic Materials,59.90%,10.85%,24.69%,9.66%,10.24x,1.90x,21.61%,0.00x,1616.55,3070.00,35.02%,4.94%,google+yfinance
ARTO,PT Bank Jago Tbk,Financial Services,42.30%,0.84%,3.45%,13.87%,54.04x,1.79x,N/A,0.84x,643.37,1150.00,27.77%,N/A,google+yfinance+stockbit
ASII,PT Astra International Tbk,Industrials,-15.60%,4.54%,13.25%,9.94%,7.13x,0.96x,39.86%,0.77x,5809.86,5600.00,44.44%,6.96%,google+yfinance
ASRI,PT Alam Sutera Realty Tbk,Real Estate,-42.00%,2.79%,2.65%,9.94%,7.80x,0.20x,50.89%,0.18x,587.65,119.00,50.21%,N/A,google+yfinance
AUTO,PT Astra Otoparts Tbk,Consumer Cyclical,10.60%,3.34%,14.19%,11.14%,5.41x,0.75x,3.32%,N/A,3362.55,2530.00,20.00%,9.05%,google+yfinance
