Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
ACES,PT Aspirasi Hidup Indonesia Tbk,Consumer Cyclical,15.50%,6.61%,10.26%,7.80%,8.75x,0.90x,15.23%,2.97x,390.49,352.00,39.99%,9.09%,yfinance
ADMR,PT Alamtri Minerals Indonesia Tbk,Basic Materials,34.00%,8.27%,16.94%,28.21%,11.96x,N/A,53.25%,N/A,0.04,1530.00,14.98%,3.31%,yfinance
ADRO,PT Alamtri Resources Indonesia Tbk,Energy,67.10%,5.42%,10.26%,25.43%,8.06x,N/A,19.54%,0.85x,0.17,2490.00,36.80%,9.50%,yfinance
AKRA,PT AKR Corporindo Tbk,Energy,16.10%,5.75%,18.94%,5.26%,10.44x,2.09x,34.16%,0.40x,647.68,1355.00,32.06%,7.38%,yfinance
AMMN,PT Amman Mineral Internasional Tbk,Basic Materials,N/A,5.28%,10.48%,20.66%,27.03x,N/A,116.55%,N/A,0.08,3940.00,20.36%,N/A,yfinance
ANTM,PT Antam (Persero) Tbk,Basic Materials,59.90%,10.85%,24.69%,9.66%,8.70x,1.90x,21.61%,0.00x,1616.55,3070.00,35.01%,6.84%,yfinance
ARTO,PT Bank Jago Tbk,Financial Services,42.30%,0.84%,3.45%,13.87%,65.78x,2.18x,N/A,1.04x,643.37,1405.00,27.77%,N/A,yfinance
ASII,PT Astra International Tbk,Industrials,-15.60%,4.54%,13.25%,9.94%,6.50x,0.88x,39.86%,0.77x,5809.86,5100.00,44.43%,7.65%,yfinance
ASRI,PT Alam Sutera Realty Tbk,Real Estate,-42.00%,2.79%,2.65%,9.94%,8.07x,0.21x,50.89%,0.18x,587.65,123.00,53.41%,122.00%,yfinance
AUTO,PT Astra Otoparts Tbk,Consumer Cyclical,10.60%,3.34%,14.19%,11.14%,5.64x,0.79x,3.32%,N/A,3362.55,2640.00,20.00%,8.67%,yfinance
BFIN,PT BFI Finance Indonesia Tbk,Financial Services,-12.60%,6.01%,14.16%,34.77%,7.85x,1.06x,119.87%,N/A,742.58,785.00,45.33%,8.92%,yfinance
BMTR,PT Global Mediacom Tbk,Communication Services,34.40%,2.71%,4.09%,9.07%,2.34x,0.12x,19.69%,N/A,991.89,120.00,46.88%,N/A,yfinance
BRIS,PT Bank Syariah Indonesia Tbk,Financial Services,17.10%,1.83%,16.15%,31.93%,11.17x,1.74x,N/A,N/A,1100.59,1910.00,9.90%,1.72%,yfinance
BRMS,PT Bumi Resources Minerals Tbk,Basic Materials,21.30%,4.60%,5.14%,20.78%,81.95x,N/A,24.53%,N/A,0.01,545.00,96.90%,N/A,yfinance
BRPT,PT Barito Pacific Tbk,Basic Materials,459.90%,0.98%,34.82%,5.98%,15.60x,N/A,133.91%,N/A,0.03,1695.00,27.67%,10.00%,yfinance
BSDE,PT Bumi Serpong Damai Tbk,Real Estate,-9.20%,3.12%,5.54%,20.21%,4.78x,0.27x,33.05%,N/A,2120.99,575.00,19.29%,N/A,yfinance
BTPS,PT Bank BTPN Syariah Tbk,Financial Services,2.80%,5.39%,12.15%,30.37%,6.62x,0.78x,N/A,0.43x,1334.20,1040.00,29.99%,11.56%,yfinance
BUKA,PT Bukalapak.com Tbk.,Consumer Cyclical,N/A,-6.56%,10.81%,35.10%,4.17x,0.40x,45.60%,N/A,268.62,108.00,35.29%,N/A,yfinance
BUMI,PT Bumi Resources Tbk,Energy,35.20%,2.32%,4.59%,5.84%,34.72x,N/A,19.97%,0.10x,0.00,150.00,48.49%,N/A,yfinance
