ticker,name,sector
ADRO,Alamtri Resources Indonesia (Adaro),Energy
PTBA,Bukit Asam,Energy
ITMG,Indo Tambangraya Megah,Energy
PGAS,Perusahaan Gas Negara,Energy
ANTM,Aneka Tambang,Basic Materials
INCO,Vale Indonesia,Basic Materials
MDKA,Merdeka Copper Gold,Basic Materials
TINS,Timah,Basic Materials
INTP,Indocement Tunggal Prakarsa,Basic Materials
SMGR,Semen Indonesia,Basic Materials
BRPT,Barito Pacific,Basic Materials
TPIA,Chandra Asri Pacific,Basic Materials
INKP,Indah Kiat Pulp & Paper,Basic Materials
TKIM,Pabrik Kertas Tjiwi Kimia,Basic Materials
INDF,Indofood Sukses Makmur,Consumer Non-Cyclical
ICBP,Indofood CBP Sukses Makmur,Consumer Non-Cyclical
UNVR,Unilever Indonesia,Consumer Non-Cyclical
MYOR,Mayora Indah,Consumer Non-Cyclical
KLBF,Kalbe Farma,Healthcare
SIDO,Industri Jamu & Farmasi Sido Muncul,Healthcare
KAEF,Kimia Farma,Healthcare
MIKA,Mitra Keluarga Karyasehat,Healthcare
CPIN,Charoen Pokphand Indonesia,Consumer Non-Cyclical
JPFA,Japfa Comfeed Indonesia,Consumer Non-Cyclical
AMRT,Sumber Alfaria Trijaya (Alfamart),Consumer Non-Cyclical
ACES,Aspirasi Hidup Indonesia (Ace Hardware),Consumer Cyclical
MAPI,Mitra Adiperkasa,Consumer Cyclical
ERAA,Erajaya Swasembada,Consumer Cyclical
MNCN,Media Nusantara Citra,Consumer Cyclical
TLKM,Telkom Indonesia,Infrastructure
JSMR,Jasa Marga,Infrastructure
TOWR,Sarana Menara Nusantara,Infrastructure
TBIG,Tower Bersama Infrastructure,Infrastructure
EXCL,XL Axiata,Infrastructure
ISAT,Indosat,Infrastructure
PWON,Pakuwon Jati,Properties & Real Estate
BSDE,Bumi Serpong Damai,Properties & Real Estate
CTRA,Ciputra Development,Properties & Real Estate
SMRA,Summarecon Agung,Properties & Real Estate
PANI,Pantai Indah Kapuk Dua,Properties & Real Estate
ASII,Astra International,Industrials
UNTR,United Tractors,Industrials
AUTO,Astra Otoparts,Industrials
EMTK,Elang Mahkota Teknologi,Technology
BRIS,Bank Syariah Indonesia,Financials (Syariah)
WIKA,Wijaya Karya,Industrials
PTPP,PP (Persero),Industrials
ADHI,Adhi Karya,Industrials
ESSA,Essa Industries Indonesia,Energy
AKRA,AKR Corporindo,Energy
